outcome,pleiotropy,IV_strength,effect,overlap,r2,number_of_SNPs,xQTL_from_one_sample,Multivariable,Multivariable_tdist,MultivariableLD,MultivariableLD_tdist,IVW_Cauchy_cauchy,IVW_tdist_Cauchy_cauchy,IVW_HMP,IVW_tdist_HMP,IVW_Modality1,IVW_tdist_Modality1,IVW_Modality2,IVW_tdist_Modality2,IVW_Modality3,IVW_tdist_Modality3,IVW_MinP,IVW_tdist_MinP,IVW_Fisher_chisq,IVW_tdist_Fisher_chisq,WGLR_Cauchy_cauchy,WGLR_tdist_Cauchy_cauchy,WGLR_HMP,WGLR_tdist_HMP,WGLR_Modality1,WGLR_tdist_Modality1,WGLR_Modality2,WGLR_tdist_Modality2,WGLR_Modality3,WGLR_tdist_Modality3,WGLR_MinP,WGLR_tdist_MinP,WGLR_Fisher_chisq,WGLR_tdist_Fisher_chisq,WGLR_Fisher_gamma,WGLR_tdist_Fisher_gamma,GSMR_Cauchy_cauchy,GSMR_HMP,GSMR_Modality1,GSMR_Modality2,GSMR_Modality3,GSMR_MinP,GSMR_Fisher_chisq,SMR_allSNPs_Cauchy_cauchy,SMR_allSNPs_HMP,SMR_allSNPs_MinP,SMR_allSNPs_Fisher_chisq,SMR_singleSNP_Cauchy_cauchy,SMR_singleSNP_HMP,SMR_Modality1,SMR_Modality2,SMR_Modality3,SMR_singleSNP_Fisher_chisq,Multivariable_beta1_mean,Multivariable_beta2_mean,Multivariable_beta3_mean,MultivariableLD_beta1_mean,MultivariableLD_beta2_mean,MultivariableLD_beta3_mean,IVW_beta1_mean,IVW_beta2_mean,IVW_beta3_mean,WGLR_beta1_mean,WGLR_beta2_mean,WGLR_beta3_mean,OLS_beta1_mean,OLS_beta2_mean,OLS_beta3_mean,F_1_mean,R2_1_mean,F_2_mean,R2_2_mean,F_3_mean,R2_3_mean,Multivariable_beta1_sd,Multivariable_beta2_sd,Multivariable_beta3_sd,MultivariableLD_beta1_sd,MultivariableLD_beta2_sd,MultivariableLD_beta3_sd,IVW_beta1_sd,IVW_beta2_sd,IVW_beta3_sd,WGLR_beta1_sd,WGLR_beta2_sd,WGLR_beta3_sd,OLS_beta1_sd,OLS_beta2_sd,OLS_beta3_sd,F_1_sd,R2_1_sd,F_2_sd,R2_2_sd,F_3_sd,R2_3_sd
binary_use_all_in_xQTL,horizontal,0.5,0,0,0.2,5,TRUE,0.1365,1.00E-04,0.0275,0,0.2493,0.0888,0.2325,0.071,0.2607,0.111,0.1884,0.07,0.2292,0.0889,0.2919,0.1262,0.3473,0.2197,0.0449,0.0025,0.0395,0.0011,0.0488,0.0062,0.0413,0.0031,0.0429,0.0044,0.0979,0.0106,0.0768,0.019,0.0439,0.0036,0.0163,0.0132,0.0345,0.0172,0.0172,0.0531,0.0343,8.00E-04,6.00E-04,0.0627,0.0418,0.0026,0.0018,0.0137,0.0015,0.0029,0.0184,0.015707864,0.021152645,-0.015220592,0.016033549,0.021219073,-0.014838443,0.003991355,0.000121029,0.008281221,0.004838644,-0.001676079,0.00465405,0.1029663,-0.105732341,-0.104943723,4.455799732,0.04279052,1.681068897,0.016631533,2.357858777,0.023142983,1.067601132,1.539096907,1.052645027,1.067215122,1.538084475,1.051689451,0.37605025,0.817270523,0.634118208,0.337266949,0.638404574,0.500292305,0.01332507,0.013399186,0.013436079,2.023098394,0.018510708,1.011907266,0.009800089,1.326249164,0.012644095
binary_use_all_in_xQTL,vertical,0.5,0,0,0.2,5,TRUE,0.1382,1.00E-04,0.0279,0,0.2701,0.1148,0.2514,0.0927,0.2666,0.1137,0.2714,0.1153,0.2714,0.1159,0.2841,0.1227,0.385,0.2706,0.0566,0.0057,0.0474,0.0031,0.0532,0.0059,0.0554,0.0066,0.0558,0.0063,0.0716,0.0095,0.1252,0.0539,0.0554,0.0063,0.0425,0.0328,0.0364,0.0443,0.0443,0.0558,0.1155,0.0104,0.0057,0.0873,0.1202,0.0177,0.013,0.0141,0.019,0.02,0.0797,0.062384096,-0.052737087,-0.018850525,0.064494447,-0.05366856,-0.019553457,-0.004282098,-0.002550326,0.002908966,-0.000986361,-0.001338339,0.00158627,-0.092573608,-0.031015478,5.06E-05,4.477731745,0.042999929,5.689509921,0.053960994,5.713901354,0.054169689,3.157107549,2.703293781,1.550712884,3.151349232,2.699809929,1.54940187,0.379713781,0.188278377,0.190892505,0.340370539,0.173328803,0.174028154,0.013867333,0.008670984,0.009011209,2.006238542,0.018350344,2.394231291,0.021378714,2.42523536,0.021626993
binary_use_all_in_xQTL,horizontal,1,0,0,0.2,5,TRUE,0.1368,1.00E-04,0.028,0,0.2631,0.1087,0.2456,0.087,0.2684,0.118,0.2413,0.0976,0.2606,0.1097,0.291,0.1278,0.3753,0.2551,0.0519,0.0043,0.0445,0.0023,0.0523,0.0079,0.0458,0.0048,0.0484,0.0052,0.09,0.0122,0.1059,0.0338,0.05,0.0067,0.04,0.0333,0.0518,0.0389,0.0389,0.0761,0.0962,0.0152,0.0105,0.1272,0.1155,0.0221,0.0172,0.0346,0.0118,0.0147,0.0823,0.024523712,0.027151015,-0.018439834,0.024522007,0.027225198,-0.018351448,0.002171689,-0.007734694,0.003714867,0.0025058,-0.004904665,0.003255276,0.093786346,-0.103673608,-0.100923827,14.73893924,0.128085023,3.698684207,0.035741723,6.411818634,0.060243749,0.964760433,1.318226261,0.964683348,0.964843633,1.318242787,0.964627986,0.178296825,0.470510287,0.309776972,0.172441604,0.391862415,0.278422933,0.013177538,0.013343257,0.013361247,5.113176004,0.038472642,1.949691967,0.018064552,2.895484381,0.025393941
binary_use_all_in_xQTL,vertical,1,0,0,0.2,5,TRUE,0.1398,1.00E-04,0.0297,0,0.2773,0.1196,0.2597,0.0966,0.2763,0.1196,0.2776,0.1197,0.2794,0.1194,0.2836,0.1227,0.3918,0.2783,0.0601,0.0075,0.0513,0.0042,0.0602,0.0072,0.0605,0.0077,0.0603,0.0076,0.0682,0.0091,0.1305,0.0599,0.06,0.0076,0.061,0.0503,0.0612,0.063,0.063,0.0704,0.1439,0.0375,0.0291,0.148,0.1649,0.0398,0.0317,0.037,0.0409,0.0409,0.1141,0.075659729,-0.055475952,-0.016940774,0.076370818,-0.055986386,-0.017234616,-0.002219635,-0.001163657,0.001157362,-0.00147218,-0.000878485,0.000933888,-0.084225521,-0.027399544,6.27E-05,14.88599801,0.12924712,19.77275478,0.164340741,19.89828846,0.16517423,3.201626826,2.775013933,1.589885499,3.2013131,2.775224071,1.590006724,0.180172825,0.089794963,0.089853982,0.173945322,0.087360781,0.087563271,0.013564968,0.008240229,0.008461001,5.061754668,0.038089414,6.446281192,0.044561975,6.526485173,0.044939397
binary_use_all_in_xQTL,horizontal,2,0,0,0.2,5,TRUE,0.1374,1.00E-04,0.0272,0,0.2664,0.1141,0.2497,0.0918,0.2683,0.1188,0.2585,0.1101,0.2682,0.1147,0.2891,0.1273,0.382,0.2652,0.0541,0.0057,0.0453,0.0035,0.053,0.0083,0.0485,0.0056,0.0515,0.0069,0.0826,0.0123,0.117,0.0428,0.0518,0.0079,0.0545,0.0463,0.0583,0.0547,0.0547,0.0857,0.1257,0.0356,0.0279,0.153,0.1563,0.0372,0.0296,0.0432,0.0325,0.0345,0.1142,0.001335353,0.00231974,-0.001412512,0.001421391,0.002377354,-0.001414353,0.001160171,-0.00400198,0.001950565,0.001273309,-0.003723274,0.001590723,0.069481551,-0.096286101,-0.087722051,55.82034914,0.353790275,11.75327432,0.104269954,22.64077294,0.182447235,0.786029734,0.929557297,0.83272834,0.785259748,0.929068725,0.83135013,0.0879468,0.230110751,0.148971031,0.08645877,0.205676693,0.14121362,0.013035119,0.013464475,0.013588751,16.63896404,0.067881495,5.356733387,0.042263049,8.615711519,0.056463751
binary_use_all_in_xQTL,vertical,2,0,0,0.2,5,TRUE,0.1413,1.00E-04,0.0311,0,0.2799,0.1214,0.2605,0.0975,0.278,0.1205,0.2798,0.1213,0.2804,0.1212,0.2819,0.1225,0.393,0.281,0.0598,0.008,0.0511,0.005,0.0603,0.0083,0.0596,0.0079,0.0598,0.0076,0.0638,0.0087,0.1332,0.0603,0.0596,0.0081,0.0668,0.0572,0.0663,0.067,0.067,0.0709,0.1487,0.0492,0.0402,0.1641,0.1764,0.0483,0.0382,0.0476,0.0484,0.0484,0.1208,0.11816627,-0.08548304,-0.0262011,0.118526558,-0.085754547,-0.026339033,-0.001105721,-0.000567144,0.00056674,-0.00090832,-0.00048975,0.000504384,-0.062179909,-0.018807399,6.80E-05,56.55000446,0.356900403,76.13795738,0.426415259,76.66912863,0.428032685,5.227019739,4.412881151,2.111444132,5.225714766,4.412082034,2.111231688,0.088920744,0.044437881,0.044445721,0.087435223,0.043779895,0.043816899,0.012981887,0.00712324,0.006989808,16.57731983,0.067392276,22.00029857,0.071108759,22.23962611,0.071330961
binary_use_all_in_xQTL,horizontal,0.5,0.1,0,0.2,5,TRUE,0.1587,2.00E-04,0.034,0,0.2732,0.1098,0.2565,0.0888,0.2837,0.1298,0.2049,0.0826,0.2501,0.1038,0.3167,0.1452,0.3727,0.2453,0.0563,0.003,0.0515,0.0018,0.0627,0.0092,0.042,0.0053,0.0515,0.0075,0.1126,0.017,0.0912,0.0244,0.0548,0.005,0.0198,0.0164,0.0437,0.0209,0.0209,0.0635,0.0466,0.002,0.0012,0.0824,0.0542,0.0051,0.003,0.0187,0.0027,0.0026,0.0239,0.073588783,0.021747606,0.075199549,0.072423731,0.022846479,0.073340756,0.112182959,-0.182785721,0.181815567,0.096976959,-0.100698709,0.128744774,0.105482135,-0.087565027,-0.086033403,4.536600705,0.043527979,1.712766783,0.016938333,2.352343794,0.023090806,1.138607405,1.727484992,1.102474114,1.13787389,1.727869134,1.101451489,0.370056303,0.831730245,0.646068788,0.331598595,0.638578728,0.512166158,0.013166362,0.014162684,0.014128535,2.056058925,0.018768022,1.029177657,0.009959689,1.321833618,0.01260334
binary_use_all_in_xQTL,vertical,0.5,0.1,0,0.2,5,TRUE,0.1803,0,0.0394,0,0.3209,0.154,0.3019,0.1285,0.3166,0.1525,0.3204,0.1549,0.3217,0.1553,0.3329,0.163,0.4399,0.3209,0.0801,0.0114,0.0691,0.0068,0.0757,0.0107,0.0785,0.0125,0.0782,0.0129,0.098,0.0164,0.1606,0.0762,0.0788,0.0123,0.0618,0.0498,0.0547,0.0634,0.0634,0.0788,0.1499,0.0188,0.012,0.1132,0.1587,0.0251,0.018,0.0206,0.0283,0.0286,0.1013,-0.008079139,-0.018412288,0.053860938,-0.006822855,-0.017842463,0.050975858,-0.163924501,-0.082707755,0.082951277,-0.137434736,-0.072576703,0.073374835,-0.110718224,-0.046649368,0.019421906,4.486184218,0.043079008,5.664015715,0.05373653,5.68058593,0.053871817,3.288059302,2.906618796,1.700310517,3.280154228,2.899497907,1.6970279,0.380144048,0.188620553,0.190563228,0.341353497,0.172877922,0.174990391,0.013035467,0.008214927,0.008872265,2.003785032,0.018333206,2.377113232,0.02125019,2.414975289,0.021557423
binary_use_all_in_xQTL,horizontal,1,0.1,0,0.2,5,TRUE,0.2197,5.00E-04,0.0559,0,0.3585,0.1844,0.3378,0.1554,0.3624,0.1945,0.3265,0.1609,0.3551,0.1862,0.3869,0.2083,0.464,0.3484,0.1033,0.0132,0.0908,0.0083,0.1031,0.0219,0.0727,0.0122,0.1001,0.018,0.1558,0.033,0.175,0.0724,0.102,0.0184,0.0873,0.0766,0.1071,0.0828,0.0828,0.1385,0.1655,0.0404,0.0314,0.2051,0.1931,0.0389,0.032,0.0579,0.0236,0.0284,0.1141,0.084762923,0.039016149,0.06825168,0.084356026,0.039415291,0.067789589,0.109068147,-0.268546976,0.190446039,0.10469248,-0.18154551,0.168599317,0.09813784,-0.086531557,-0.080870466,15.16505826,0.131257482,3.836708072,0.037016715,6.424389966,0.060351937,0.950764416,1.351562711,0.989571655,0.950764711,1.351404492,0.989344046,0.176144543,0.482691113,0.317160536,0.169933657,0.392822793,0.284962109,0.012908312,0.014059266,0.014107346,5.261623534,0.039295358,2.014177708,0.018594485,2.90468131,0.025462321
binary_use_all_in_xQTL,vertical,1,0.1,0,0.2,5,TRUE,0.2974,2.00E-04,0.0783,0,0.4582,0.2699,0.4396,0.2381,0.4586,0.2693,0.4578,0.2702,0.4573,0.2704,0.4638,0.2749,0.565,0.4598,0.163,0.0362,0.1442,0.0242,0.1588,0.0351,0.1602,0.0368,0.16,0.0364,0.1772,0.0413,0.2782,0.1611,0.1616,0.0362,0.1697,0.1521,0.165,0.171,0.171,0.1852,0.298,0.1152,0.0923,0.2846,0.3297,0.0983,0.0808,0.0934,0.1001,0.0997,0.2113,-0.022468777,-0.031349657,0.03451978,-0.022084344,-0.03114333,0.033481905,-0.158274489,-0.079373183,0.079757392,-0.150591935,-0.076335859,0.076781051,-0.104451382,-0.043648369,0.019567956,14.81567916,0.128717639,19.5279892,0.162666077,19.61073718,0.163207565,3.312176295,2.804551488,1.606278845,3.311352558,2.804078925,1.60613562,0.181029851,0.090494076,0.090919132,0.17460754,0.087951138,0.088477606,0.012600659,0.00777327,0.008314995,5.043107289,0.038013987,6.359059289,0.044160055,6.428337018,0.044498042
binary_use_all_in_xQTL,horizontal,2,0.1,0,0.2,5,TRUE,0.4256,0.0024,0.1424,0,0.5816,0.3877,0.5625,0.3484,0.582,0.3952,0.5601,0.3608,0.584,0.3978,0.5989,0.411,0.6702,0.5788,0.2616,0.0631,0.2401,0.043,0.2567,0.08,0.1751,0.0428,0.2638,0.0793,0.3238,0.108,0.3809,0.2252,0.2548,0.0745,0.2746,0.2507,0.2858,0.2826,0.2826,0.3375,0.4048,0.2061,0.1757,0.4289,0.4554,0.1297,0.1144,0.1396,0.1184,0.1235,0.2511,0.093435163,0.072941887,0.074335083,0.093197977,0.073203892,0.074098665,0.107624652,-0.275180754,0.18630622,0.105798581,-0.216668963,0.179196749,0.078743487,-0.083168156,-0.063848277,58.19432778,0.363157629,12.35294766,0.108997276,23.03399167,0.184944916,0.760297644,0.907872513,0.801180862,0.760194813,0.907815265,0.800986105,0.08750879,0.252270017,0.154045485,0.085854881,0.220151645,0.145937094,0.012196141,0.0138445,0.014607509,17.34516733,0.068856205,5.522606064,0.043120228,8.797940177,0.057266009
binary_use_all_in_xQTL,vertical,2,0.1,0,0.2,5,TRUE,0.6235,0.008,0.2706,0,0.7588,0.6032,0.7463,0.5673,0.7582,0.6025,0.7582,0.6028,0.7585,0.6027,0.76,0.6048,0.8252,0.7595,0.4548,0.1894,0.4273,0.1466,0.4534,0.1887,0.4543,0.1901,0.4525,0.1885,0.4691,0.1997,0.6057,0.4557,0.4539,0.19,0.4935,0.4645,0.4927,0.4922,0.4922,0.5061,0.6385,0.4168,0.3778,0.6116,0.6677,0.3077,0.2781,0.3061,0.3081,0.3082,0.4646,-0.017837822,-0.008800988,0.06089929,-0.017279201,-0.008758701,0.060573114,-0.156669465,-0.078706628,0.079115812,-0.153533961,-0.07734324,0.077769576,-0.087576262,-0.036282807,0.019630652,55.35678119,0.352188652,73.95327564,0.41958078,74.36614285,0.420909084,3.27438188,2.821395044,1.61944275,3.273174919,2.820369549,1.618853416,0.089945587,0.045084488,0.045292797,0.088335771,0.044367815,0.04457318,0.011558764,0.006628841,0.006889461,16.13603839,0.06663612,21.21366888,0.070229367,21.34883203,0.070267421
binary_use_all_in_xQTL,horizontal,0.5,0,0.5,0.2,5,TRUE,0.1351,1.00E-04,0.0303,0,0.2484,0.088,0.2339,0.0705,0.2596,0.1071,0.1868,0.0698,0.2295,0.0862,0.2946,0.1244,0.3446,0.2192,0.0479,0.0022,0.0428,0.0014,0.049,0.0078,0.0424,0.0046,0.0429,0.0048,0.0992,0.0139,0.0816,0.0192,0.0459,0.0037,0.0167,0.0141,0.0348,0.017,0.017,0.0539,0.036,0.0016,9.00E-04,0.0608,0.0412,0.0035,0.0026,0.0127,0.0021,0.0031,0.0189,0.077039304,-0.070598909,-0.158844045,0.078627176,-0.071341363,-0.157046053,0.001121604,-0.064246594,-0.010656597,0.031267414,-0.116448379,-0.064710391,0.102847196,-0.105666642,-0.10499072,4.459046047,0.042822782,1.681155778,0.016632292,2.343454191,0.023008075,1.012505085,1.505568652,1.022794742,1.011527924,1.505048834,1.023777324,0.377271536,0.792965227,0.618754984,0.334807165,0.607182491,0.489963505,0.013145405,0.013466005,0.013305355,2.017465138,0.018451472,1.012877147,0.009799943,1.309259839,0.01248254
binary_use_all_in_xQTL,vertical,0.5,0,0.5,0.2,5,TRUE,0.1396,1.00E-04,0.0304,0,0.2709,0.1148,0.2516,0.0909,0.2649,0.1127,0.2703,0.115,0.2704,0.1169,0.2819,0.1236,0.3881,0.2714,0.059,0.0056,0.0481,0.0032,0.0553,0.0055,0.0574,0.0061,0.0576,0.0067,0.0746,0.0092,0.1236,0.0565,0.0587,0.0063,0.0408,0.0324,0.037,0.0434,0.0434,0.0569,0.1184,0.0101,0.006,0.0851,0.1193,0.0172,0.0132,0.0131,0.0184,0.0195,0.0789,-0.235993328,-0.026861473,-0.140591285,-0.236430102,-0.026599601,-0.138877639,-0.000781926,-0.001132405,0.002626929,-0.024220962,-0.006796447,0.00165136,-0.092545736,-0.030964906,5.11E-05,4.451794112,0.042756302,5.664331305,0.053729199,5.700860654,0.054055313,3.315578214,2.984702117,1.785144755,3.311658205,2.981663456,1.782636206,0.383972916,0.188161676,0.188198209,0.340846342,0.172771767,0.173484328,0.013923495,0.008654788,0.008996358,2.016245343,0.01842467,2.404674433,0.021449859,2.416593472,0.021546104
binary_use_all_in_xQTL,horizontal,1,0,0.5,0.2,5,TRUE,0.1381,1.00E-04,0.0308,0,0.2643,0.1088,0.2468,0.0866,0.2672,0.1176,0.2394,0.0963,0.261,0.1093,0.2921,0.1284,0.3748,0.2572,0.0516,0.0041,0.045,0.0025,0.0515,0.0082,0.047,0.0059,0.0501,0.0059,0.0914,0.0142,0.1027,0.0335,0.0511,0.0067,0.0426,0.0352,0.0535,0.038,0.038,0.0756,0.0947,0.0156,0.0112,0.1275,0.1147,0.0216,0.017,0.0348,0.0124,0.0149,0.0824,0.087973752,-0.006149278,-0.133511085,0.08855722,-0.006479996,-0.132914435,0.001132191,-0.00922908,0.005400794,0.008889188,-0.044422149,-0.015930387,0.093679264,-0.10361994,-0.100970043,14.75580841,0.12821034,3.701403524,0.035767452,6.392139487,0.060072686,0.89849286,1.244038436,0.931307106,0.898484562,1.243869934,0.930983631,0.178279965,0.468157977,0.311798159,0.171909169,0.381629693,0.277744495,0.012975079,0.01340003,0.013256427,5.117563537,0.038530513,1.950891078,0.018046974,2.884891117,0.02531349
binary_use_all_in_xQTL,vertical,1,0,0.5,0.2,5,TRUE,0.143,1.00E-04,0.0313,0,0.2773,0.1204,0.2581,0.0959,0.2767,0.1191,0.2775,0.1206,0.2775,0.1196,0.2827,0.1238,0.3925,0.2789,0.059,0.0073,0.0509,0.0043,0.058,0.0074,0.0593,0.0069,0.0588,0.0075,0.0668,0.0092,0.1309,0.0588,0.0593,0.0074,0.0613,0.0512,0.0603,0.0625,0.0625,0.0697,0.1445,0.0373,0.0283,0.1483,0.1651,0.04,0.031,0.0378,0.0417,0.0415,0.1134,-0.205365596,-0.030887388,-0.132389427,-0.205970462,-0.03064861,-0.13202505,-0.00091974,-0.000808249,0.001199057,-0.006913302,-0.002232653,0.0009841,-0.084214477,-0.027360941,5.73E-05,14.83526544,0.128836246,19.70833455,0.163857592,19.86245582,0.164905582,3.344504914,2.867449536,1.619918266,3.344781863,2.86746242,1.619629876,0.180552879,0.090034025,0.089976954,0.174294501,0.087626095,0.087729081,0.01370594,0.008280777,0.00849746,5.097024149,0.03831997,6.486610507,0.044810791,6.545913448,0.045100473
