"outcome","pleiotropy","IV_strength","effect","overlap","r2","number_of_SNPs","xQTL_from_one_sample","Multivariable","Multivariable_tdist","MultivariableLD","MultivariableLD_tdist","IVW_Cauchy_cauchy","IVW_tdist_Cauchy_cauchy","IVW_HMP","IVW_tdist_HMP","IVW_Modality1","IVW_tdist_Modality1","IVW_Modality2","IVW_tdist_Modality2","IVW_Modality3","IVW_tdist_Modality3","IVW_MinP","IVW_tdist_MinP","IVW_Fisher_chisq","IVW_tdist_Fisher_chisq","WGLR_Cauchy_cauchy","WGLR_tdist_Cauchy_cauchy","WGLR_HMP","WGLR_tdist_HMP","WGLR_Modality1","WGLR_tdist_Modality1","WGLR_Modality2","WGLR_tdist_Modality2","WGLR_Modality3","WGLR_tdist_Modality3","WGLR_MinP","WGLR_tdist_MinP","WGLR_Fisher_chisq","WGLR_tdist_Fisher_chisq","WGLR_Fisher_gamma","WGLR_tdist_Fisher_gamma","GSMR_Cauchy_cauchy","GSMR_HMP","GSMR_Modality1","GSMR_Modality2","GSMR_Modality3","GSMR_MinP","GSMR_Fisher_chisq","SMR_allSNPs_Cauchy_cauchy","SMR_allSNPs_HMP","SMR_allSNPs_MinP","SMR_allSNPs_Fisher_chisq","SMR_singleSNP_Cauchy_cauchy","SMR_singleSNP_HMP","SMR_Modality1","SMR_Modality2","SMR_Modality3","SMR_singleSNP_Fisher_chisq","Multivariable_beta1_mean","Multivariable_beta2_mean","Multivariable_beta3_mean","MultivariableLD_beta1_mean","MultivariableLD_beta2_mean","MultivariableLD_beta3_mean","IVW_beta1_mean","IVW_beta2_mean","IVW_beta3_mean","WGLR_beta1_mean","WGLR_beta2_mean","WGLR_beta3_mean","OLS_beta1_mean","OLS_beta2_mean","OLS_beta3_mean","F_1_mean","R2_1_mean","F_2_mean","R2_2_mean","F_3_mean","R2_3_mean","nsnps_mean","Multivariable_beta1_sd","Multivariable_beta2_sd","Multivariable_beta3_sd","MultivariableLD_beta1_sd","MultivariableLD_beta2_sd","MultivariableLD_beta3_sd","IVW_beta1_sd","IVW_beta2_sd","IVW_beta3_sd","WGLR_beta1_sd","WGLR_beta2_sd","WGLR_beta3_sd","OLS_beta1_sd","OLS_beta2_sd","OLS_beta3_sd","F_1_sd","R2_1_sd","F_2_sd","R2_2_sd","F_3_sd","R2_3_sd","nsnps_sd"
"continuous","horizontal",0.5,0.1,0,NA,NA,TRUE,0.0048,0,0.0048,0,0.0616,2e-04,0.0549,1e-04,0.0582,2e-04,0.0602,4e-04,0.056,3e-04,0.1098,8e-04,0.1087,0.0063,0.0617,2e-04,0.055,1e-04,0.0583,2e-04,0.0595,4e-04,0.0556,3e-04,0.1092,8e-04,0.1089,0.0063,0.0594,1e-04,0.0297,0.0246,0.0296,0.0262,0.0262,0.0708,0.0577,0.0014,0.001,0.0645,0.0098,0.0065,0.0049,0.0082,0.0163,0.0042,0.0203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.474745205723816,-0.367526839465441,-0.369486537691382,6.47311643719374,0.0352695907889033,7.30820407836831,0.0395096454216622,5.90005487245222,0.032203851842442,2.8767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0366172874123307,0.0392051837811773,0.0398173038145341,4.33962226427107,0.0229493417043178,4.8607015846335,0.0252341618522563,4.13513581219676,0.0217343669132843,0.569850491759282
"continuous","vertical",0.5,0.1,0,NA,NA,TRUE,0.0039,0,0.0039,0,0.0794,0.001,0.0676,4e-04,0.0792,0.001,0.0784,0.0011,0.079,9e-04,0.0958,0.0011,0.1594,0.0172,0.0794,0.0011,0.0677,4e-04,0.0798,0.001,0.0785,0.0011,0.0794,9e-04,0.097,0.0011,0.159,0.0171,0.0786,0.0011,0.0587,0.0478,0.0563,0.0606,0.0606,0.0767,0.1406,0.0077,0.0054,0.0692,0.064,0.0196,0.015,0.0184,0.0221,0.0202,0.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.575428684259988,-0.238134025566861,0.100405594537436,9.35907906375495,0.0493769583005167,11.7678441045783,0.0614012025328666,11.1736886899159,0.0584081417371573,2.8045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0482145741910165,0.0292769787751017,0.0306111308018383,3.43484875971596,0.0184128914368217,3.51407127890142,0.0192361743217955,3.98269294360377,0.0211883496284005,0.596921587428494
"continuous","horizontal",1,0.1,0,NA,NA,TRUE,0.0263,0,0.0259,0,0.1056,9e-04,0.0974,7e-04,0.0861,0.0025,0.0975,0.004,0.0881,0.0024,0.1897,0.0074,0.1439,0.0135,0.1055,9e-04,0.0974,7e-04,0.0864,0.0025,0.0971,0.004,0.0887,0.0024,0.1901,0.0074,0.1439,0.0135,0.0981,0.0017,0.0674,0.061,0.0569,0.0521,0.0521,0.1427,0.0951,0.0115,0.0103,0.142,0.019,0.0212,0.0191,0.0204,0.0415,0.0045,0.0397,NA,NA,NA,NA,NA,NA,0.0232802165785884,0.0545244086068776,0.0440542912591836,0.0232599095389345,0.0545349539840072,0.0440470525610882,0.416764587382694,-0.293162678197391,-0.299399500578176,8.89196297306801,0.0529217423983196,11.5868316830826,0.0673984498316829,7.90904167109209,0.0472335187856505,3.2627,NA,NA,NA,NA,NA,NA,0.57273175561928,0.374016405847282,0.414263020276627,0.573011399331327,0.373844982051238,0.414367017572969,0.0392482380307577,0.0454470120441272,0.0439148785210868,7.6500585543721,0.0423036777647839,9.50061572745918,0.0503968622218805,7.08553567542024,0.0391909218138486,0.570194021471825
"continuous","vertical",1,0.1,0,NA,NA,TRUE,0.0297,0,0.0297,0,0.1556,0.0098,0.1423,0.0064,0.1533,0.0097,0.1549,0.0099,0.1565,0.0099,0.1704,0.0112,0.2671,0.0759,0.1557,0.0097,0.1423,0.0065,0.154,0.0096,0.1551,0.0099,0.1561,0.0099,0.1711,0.0111,0.2665,0.0757,0.1554,0.0095,0.1491,0.1342,0.1448,0.1505,0.1505,0.1624,0.2636,0.0468,0.0389,0.164,0.161,0.0647,0.0536,0.0617,0.0671,0.0669,0.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.517591101570672,-0.211802353392276,0.100500323751479,15.59438209019,0.0887090607157766,19.7635185886258,0.109650696865798,19.5100844535547,0.108347061454665,3.1711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0486336696562362,0.0276722939664937,0.0275864416765985,6.66408475796379,0.0354849839130457,7.90845177637208,0.0398290406294607,8.08894311897122,0.0406710035211599,0.604037479075275
"continuous","horizontal",2,0.1,0,NA,NA,TRUE,0.1323,0,0.133,0,0.2623,0.0137,0.2506,0.0091,0.1855,0.0205,0.2189,0.034,0.1698,0.0173,0.3857,0.0564,0.2985,0.0632,0.2635,0.0138,0.2506,0.0093,0.1854,0.0208,0.2185,0.0336,0.1694,0.0172,0.3851,0.0563,0.2984,0.0626,0.2393,0.0204,0.2463,0.2332,0.1697,0.1467,0.1467,0.3696,0.2825,0.0921,0.0885,0.369,0.1106,0.0979,0.0896,0.0772,0.1286,0.0219,0.1374,NA,NA,NA,NA,NA,NA,0.0583196971457501,0.0755714365140669,0.0676178458667941,0.0583170596837586,0.0755879428017224,0.0676565821907672,0.297997074626047,-0.14409909645727,-0.153002423927383,15.9432180474229,0.0953784862512209,22.1385432839902,0.126659028824351,14.2475907895174,0.0861513741190119,3.6031,NA,NA,NA,NA,NA,NA,0.296598389375783,0.238262488140504,0.31762716045226,0.296533626995334,0.238299313966898,0.317629740751501,0.0415758731065443,0.0511427305828151,0.0482331243206581,15.2370834006332,0.0781203289514224,19.1993982284831,0.091630983021569,14.1357985405058,0.0734565143502871,0.58498257278405
"continuous","vertical",2,0.1,0,NA,NA,TRUE,0.1594,1e-04,0.1592,1e-04,0.461,0.0964,0.4372,0.0716,0.4603,0.0968,0.4606,0.0968,0.4598,0.0963,0.4743,0.1023,0.5966,0.3333,0.4609,0.0963,0.4371,0.071,0.4605,0.0965,0.4602,0.0966,0.4597,0.0959,0.4742,0.1023,0.5962,0.333,0.4607,0.0967,0.4773,0.4547,0.4741,0.479,0.479,0.4887,0.6135,0.2546,0.2348,0.458,0.4708,0.202,0.183,0.1984,0.2035,0.2016,0.3336,NA,NA,NA,NA,NA,NA,-0.163999508855689,-0.0818019948855356,0.0819505990859968,-0.164008978237567,-0.0818073675993324,0.0819567969135446,-0.398856654072992,-0.164323500609803,0.100466539759999,32.2249374997642,0.177562180575947,37.8161981679556,0.201774741070557,37.6785897605272,0.201186394118843,3.4728,NA,NA,NA,NA,NA,NA,0.104674339645236,0.0518554377451177,0.0519006077731505,0.104673395413574,0.0518548520427931,0.0519009426662856,0.0464233816670522,0.0227876957877038,0.0209140169689586,14.7151302676023,0.0636243523924577,16.7093579158844,0.0672561607621236,16.6985852236452,0.0674266386376275,0.602076747301342
"continuous","horizontal",0.5,0,0,NA,NA,TRUE,0.0045,0,0.0046,0,0.0557,1e-04,0.0479,1e-04,0.0541,4e-04,0.0558,6e-04,0.0529,4e-04,0.1043,0.0013,0.1012,0.0064,0.0561,1e-04,0.0482,1e-04,0.054,4e-04,0.0557,6e-04,0.0533,4e-04,0.1042,0.0013,0.1013,0.0064,0.0544,5e-04,0.0252,0.0199,0.0265,0.0251,0.0251,0.0646,0.0551,0.0011,8e-04,0.0571,0.009,0.0057,0.0041,0.0079,0.0129,0.0036,0.0201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.468534031161004,-0.46759152540832,-0.469551621986656,6.47311643719374,0.0352695907889033,7.30820407836831,0.0395096454216622,5.90005487245222,0.032203851842442,2.8767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0391658915073867,0.0389374075297194,0.0395148915174189,4.33962226427107,0.0229493417043178,4.8607015846335,0.0252341618522563,4.13513581219676,0.0217343669132843,0.569850491759282
"continuous","vertical",0.5,0,0,NA,NA,TRUE,0.0035,0,0.0034,0,0.0666,2e-04,0.0553,0,0.0659,2e-04,0.065,3e-04,0.0645,2e-04,0.0804,4e-04,0.1391,0.0135,0.0664,2e-04,0.0551,0,0.0658,2e-04,0.0651,3e-04,0.0643,2e-04,0.0804,4e-04,0.1392,0.0136,0.0655,3e-04,0.0463,0.0392,0.0449,0.0472,0.0472,0.0625,0.1215,0.0048,0.0039,0.0589,0.0552,0.0168,0.012,0.0148,0.0185,0.0165,0.0737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.469132952003635,-0.153436106626405,0.000405594537436177,9.35907906375495,0.0493769583005167,11.7678441045783,0.0614012025328666,11.1736886899159,0.0584081417371573,2.8045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.050249440564767,0.0301093149572582,0.0306111308018383,3.43484875971596,0.0184128914368217,3.51407127890142,0.0192361743217955,3.98269294360377,0.0211883496284005,0.596921587428494
"continuous","horizontal",1,0,0,NA,NA,TRUE,0.0143,0,0.0141,0,0.0609,2e-04,0.0557,2e-04,0.0539,7e-04,0.0594,0.0012,0.0552,0.001,0.123,0.0026,0.09,0.0059,0.0614,2e-04,0.0553,2e-04,0.0534,7e-04,0.0591,0.0012,0.0551,0.001,0.1222,0.0026,0.0899,0.0059,0.0584,3e-04,0.035,0.0313,0.0325,0.0305,0.0305,0.0843,0.0569,0.0036,0.0034,0.0852,0.0081,0.0097,0.0082,0.0108,0.021,0.0034,0.0215,NA,NA,NA,NA,NA,NA,-0.00146161917125227,-7.25979131645735e-05,-0.00504254358515462,-0.00147577176934926,-6.72751537631654e-05,-0.00505939612162274,0.396111227299905,-0.393198239816849,-0.399400512670668,8.89196297306801,0.0529217423983196,11.5868316830826,0.0673984498316829,7.90904167109209,0.0472335187856505,3.2627,NA,NA,NA,NA,NA,NA,0.570920033898947,0.370610750924925,0.397300551969851,0.571002313154285,0.370538600870408,0.397347018220831,0.0436393910117732,0.0450805558888659,0.0435387100030839,7.6500585543721,0.0423036777647839,9.50061572745918,0.0503968622218805,7.08553567542024,0.0391909218138486,0.570194021471825
"continuous","vertical",1,0,0,NA,NA,TRUE,0.0128,0,0.0127,0,0.0636,0.001,0.0553,4e-04,0.0629,0.001,0.063,0.001,0.0616,0.001,0.0716,0.0013,0.141,0.0237,0.0632,0.001,0.055,4e-04,0.063,0.001,0.0625,0.001,0.0614,0.001,0.0716,0.0013,0.1412,0.0236,0.063,0.001,0.0596,0.0508,0.0576,0.0597,0.0597,0.0684,0.1361,0.0117,0.0096,0.0825,0.0812,0.0257,0.0201,0.0233,0.0276,0.0272,0.0948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.396811311668131,-0.124167591663581,0.000500323751478934,15.59438209019,0.0887090607157766,19.7635185886258,0.109650696865798,19.5100844535547,0.108347061454665,3.1711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0524538446060151,0.0286709843470748,0.0275864416765985,6.66408475796379,0.0354849839130457,7.90845177637208,0.0398290406294607,8.08894311897122,0.0406710035211599,0.604037479075275
"continuous","horizontal",2,0,0,NA,NA,TRUE,0.024,0,0.024,0,0.0613,4e-04,0.0569,4e-04,0.0563,0.0019,0.0568,0.0018,0.0546,0.0015,0.127,0.0046,0.0864,0.0067,0.0621,4e-04,0.0573,3e-04,0.056,0.0019,0.057,0.0019,0.0547,0.0015,0.1269,0.0047,0.0866,0.0066,0.054,7e-04,0.0437,0.0392,0.044,0.0393,0.0393,0.1035,0.0661,0.0068,0.0062,0.1144,0.0141,0.0138,0.012,0.0154,0.0273,0.0039,0.0305,NA,NA,NA,NA,NA,NA,-0.00155031145470501,-0.00056211559681883,-0.00210903023471839,-0.00153692035299914,-0.000554185261725053,-0.00209387828678439,0.247751876913518,-0.244073350731821,-0.252873643203432,15.9432180474229,0.0953784862512209,22.1385432839902,0.126659028824351,14.2475907895174,0.0861513741190119,3.6031,NA,NA,NA,NA,NA,NA,0.206941940524605,0.189458210742332,0.244853619754088,0.206870028699712,0.189540112449032,0.244846047018689,0.047463348888038,0.0503051950460254,0.0474553559790789,15.2370834006332,0.0781203289514224,19.1993982284831,0.091630983021569,14.1357985405058,0.0734565143502871,0.58498257278405
"continuous","vertical",2,0,0,NA,NA,TRUE,0.0211,0,0.021,0,0.0689,0.0023,0.059,7e-04,0.0687,0.0022,0.0686,0.0022,0.0677,0.0028,0.0738,0.0031,0.1414,0.0322,0.0684,0.0023,0.0589,7e-04,0.0679,0.0022,0.0686,0.0022,0.0679,0.0028,0.0737,0.0031,0.1414,0.0324,0.068,0.0025,0.0711,0.0603,0.0704,0.0718,0.0718,0.077,0.1502,0.0219,0.019,0.1139,0.099,0.0358,0.0276,0.0346,0.0365,0.0357,0.1067,NA,NA,NA,NA,NA,NA,-0.000337479571825771,-0.000115794568116286,7.21598176485554e-05,-0.000346737436220996,-0.000120505157117548,7.71370665807444e-05,-0.248402727240077,-0.0714170846351208,0.000466539759999305,32.2249374997642,0.177562180575947,37.8161981679556,0.201774741070557,37.6785897605272,0.201186394118843,3.4728,NA,NA,NA,NA,NA,NA,0.0986395099050322,0.049013146432754,0.0491096481632603,0.0986363654962076,0.0490112993000972,0.0491078092628094,0.0526343166607489,0.0238755283920267,0.0209140169689586,14.7151302676023,0.0636243523924577,16.7093579158844,0.0672561607621236,16.6985852236452,0.0674266386376275,0.602076747301342
